iter	Passed	Remaining
271	28192	75457
272	28284	75321
273	28387	75217
274	28500	75136
275	28602	75030
276	28702	74917
277	28813	74831
278	28925	74750
279	29031	74653
280	29155	74599
281	29287	74568
282	29403	74494
283	29521	74426
284	29620	74310
285	29724	74207
286	29829	74106
287	29940	74019
288	30050	73931
289	30153	73825
290	30254	73712
291	30352	73593
292	30450	73475
293	30555	73374
294	30658	73269
295	30764	73168
296	30867	73062
297	30975	72969
298	31090	72889
299	31201	72802
300	31314	72720
301	31420	72620
302	31528	72525
303	31635	72427
304	31746	72341
305	31869	72278
306	31973	72174
307	32056	72023
308	32152	71900
309	32249	71781
310	32337	71642
311	32450	71556
312	32567	71482
313	32683	71404
314	32798	71323
315	32899	71213
316	33003	71109
317	33120	71032
318	33231	70941
319	33345	70858
320	33451	70758
321	33562	70669
322	33668	70569
323	33778	70475
324	33896	70399
325	34001	70297
326	34107	70196
327	34213	70096
328	34321	69999
329	34426	69897
330	34528	69787
331	34646	69710
332	34764	69633
333	34884	69560
334	34990	69459
335	35091	69346
336	35200	69252
337	35310	69159
338	35426	69075
339	35529	68968
340	35641	68879
341	35771	68822
342	35975	68909
343	36101	68845
344	36245	68813
345	36401	68805
346	36563	68807
347	36813	68972
348	36945	68916
349	37109	68917
350	37243	68862
351	37353	68764
352	37457	68653
353	37564	68550
354	37671	68444
355	37779	68341
356	37895	68253
357	38002	68149
358	38109	68045
359	38214	67937
360	38329	67845
361	38444	67756
362	38555	67657
363	38669	67565
364	38777	67462
365	38884	67358
366	38986	67243
367	39085	67125
368	39207	67045
369	39310	66934
370	39443	66872
371	39567	66797
372	39671	66686
373	39773	66573
374	39876	66461
375	39982	66353
376	40088	66246
377	40194	66140
378	40293	66021
379	40406	65926
380	40512	65819
381	40621	65717
382	40731	65616
383	40846	65524
384	40947	65409
385	41065	65322
386	41181	65231
387	41295	65136
388	41403	65032
389	41510	64926
390	41618	64822
391	41713	64698
392	41803	64566
393	41910	64461
394	42011	64346
395	42116	64238
396	42216	64121
397	42320	64012
398	42419	63894
399	42520	63780
400	42627	63676
401	42736	63572
402	42845	63470
403	42964	63383
404	43067	63272
405	43175	63167
406	43280	63059
407	43412	62990
408	43532	62903
409	43640	62800
410	43741	62685
411	43846	62576
412	43969	62493
413	44074	62386
414	44186	62286
415	44306	62200
416	44422	62106
417	44531	62003
418	44641	61901
419	44740	61785
420	44837	61664
421	44948	61564
422	45057	61461
423	45168	61361
424	45274	61254
425	45384	61151
426	45486	61039
427	45598	60939
428	45705	60834
429	45806	60720
430	45918	60620
431	46020	60508
432	46125	60400
433	46232	60294
434	46341	60191
435	46572	60245
436	46718	60189
437	46836	60095
438	46942	59988
439	47053	59886
440	47177	59801
441	47301	59716
442	47451	59662
443	47573	59573
444	47685	59472
445	47792	59365
446	47910	59272
447	48019	59166
448	48140	59076
449	48255	58979
450	48378	58890
451	48488	58787
452	48629	58720
453	48753	58632
454	48870	58537
455	49000	58456
456	49116	58358
457	49229	58258
458	49342	58157
459	49460	58062
460	49572	57960
461	49696	57871
462	49827	57791
463	49947	57698
464	50065	57601
465	50190	57514
466	50308	57417
467	50423	57319
468	50542	57223
469	50664	57131
470	50771	57024
471	50916	56957
472	51082	56913
473	51284	56910
474	51458	56875
475	51603	56807
476	51731	56720
477	51860	56634
478	51974	56531
479	52087	56428
480	52203	56327
481	52317	56225
482	52434	56125
483	52555	56030
484	52663	55920
485	52768	55808
486	52868	55691
487	52976	55582
488	53086	55474
489	53199	55371
490	53326	55281
491	53435	55172
492	53548	55069
493	53667	54971
494	53774	54860
495	53884	54753
496	53995	54647
497	54132	54567
498	54259	54477
499	54377	54377
500	54517	54300
501	54653	54218
502	54781	54128
503	54910	54039
504	55043	53953
505	55168	53859
506	55293	53767
507	55408	53663
508	55521	53558
509	55631	53449
510	55776	53374
511	55901	53280
512	56014	53175
513	56142	53084
514	56252	52975
515	56368	52873
516	56479	52764
517	56585	52653
518	56711	52558
519	56834	52462
520	56963	52371
521	57084	52272
522	57205	52174
523	57328	52077
524	57444	51973
525	57560	51870
526	57678	51768
527	57787	51658
528	57892	51545
529	57996	51430
530	58108	51323
531	58223	51218
532	58320	51098
533	58421	50981
534	58529	50871
535	58641	50764
536	58740	50646
537	58841	50529
538	58950	50419
539	59052	50303
540	59165	50197
541	59277	50090
542	59388	49982
543	59507	49881
544	59619	49773
545	59723	49660
546	59834	49552
547	59947	49445
548	60051	49332
549	60156	49219
550	60258	49103
551	60368	48994
552	60461	48871
553	60561	48755
554	60666	48642
555	60773	48531
556	60886	48424
557	60983	48306
558	61082	48188
559	61184	48073
560	61267	47943
561	61373	47832
562	61476	47718
563	61588	47610
564	61702	47505
565	61815	47399
566	61922	47288
567	62035	47182
568	62134	47065
569	62247	46958
570	62350	46844
571	62458	46734
572	62568	46625
573	62654	46499
574	62749	46379
575	62858	46270
576	62962	46158
577	63061	46041
578	63162	45926
579	63275	45820
580	63474	45775
581	63589	45670
582	63693	45557
583	63805	45450
584	63909	45337
585	64020	45229
586	64118	45111
587	64217	44996
588	64311	44876
589	64422	44768
590	64515	44647
591	64606	44526
592	64700	44406
593	64785	44281
594	64887	44167
595	64982	44048
596	65062	43919
597	65153	43799
598	65251	43682
599	65328	43552
600	65425	43435
601	65523	43319
602	65623	43205
603	65714	43084
604	65818	42972
605	65926	42863
606	66028	42750
607	66126	42633
608	66219	42515
609	66330	42408
610	66440	42299
611	66542	42187
612	66659	42083
613	66764	41972
614	66869	41861
615	66973	41749
616	67094	41648
617	67210	41544
618	67330	41442
619	67439	41334
620	67546	41224
621	67654	41114
622	67762	41005
623	67860	40890
624	67968	40780
625	68071	40669
626	68175	40557
627	68300	40458
628	68420	40356
629	68545	40256
630	68661	40152
631	68778	40048
632	68895	39944
633	69002	39834
634	69115	39727
635	69215	39613
636	69321	39503
637	69452	39407
638	69545	39289
639	69640	39172
640	69742	39059
641	69851	38951
642	69950	38836
643	70051	38724
644	70160	38615
645	70258	38500
646	70359	38388
647	70474	38282
648	70577	38170
649	70674	38055
650	70783	37947
651	70904	37844
652	71017	37738
653	71132	37633
654	71244	37525
655	71346	37413
656	71462	37308
657	71568	37198
658	71682	37091
659	71789	36982
660	71891	36870
661	72008	36765
662	72125	36660
663	72228	36549
664	72335	36439
665	72449	36333
666	72555	36223
667	72660	36112
668	72775	36007
669	72894	35903
670	72996	35791
671	73099	35679
672	73203	35568
673	73310	35458
674	73415	35348
675	73530	35242
676	73643	35135
677	73752	35027
678	73855	34915
679	73963	34806
680	74076	34699
681	74182	34589
682	74279	34475
683	74389	34366
684	74493	34255
685	74605	34148
686	74716	34041
687	74824	33931
688	74923	33819
689	75041	33714
690	75148	33604
691	75263	33498
692	75381	33394
693	75480	33280
694	75587	33171
695	75696	33062
696	75811	32956
697	75921	32848
698	76020	32735
699	76136	32629
700	76247	32522
701	76342	32407
702	76435	32291
703	76537	32180
704	76667	32080
705	76793	31979
706	76896	31867
707	77004	31758
708	77111	31649
709	77211	31537
710	77324	31430
711	77441	31324
712	77545	31213
713	77648	31102
714	77761	30995
715	77872	30887
716	77986	30781
717	78095	30672
718	78199	30562
719	78302	30450
720	78399	30337
721	78502	30226
722	78617	30120
723	78725	30011
724	78832	29901
725	78931	29789
726	79028	29676
727	79125	29563
728	79222	29450
729	79338	29344
730	79434	29231
731	79538	29120
732	79647	29012
733	79760	28904
734	79859	28793
735	79974	28686
736	80073	28574
737	80165	28459
738	80263	28347
739	80362	28235
740	80453	28120
741	80543	28005
742	80632	27890
743	80727	27777
744	80820	27663
745	80911	27549
746	80999	27433
747	81110	27325
748	81198	27210
749	81301	27100
750	81401	26989
751	81503	26878
752	81610	26769
753	81712	26659
754	81806	26546
755	81903	26434
756	81997	26321
757	82097	26210
758	82185	26095
759	82282	25983
760	82372	25870
761	82474	25759
762	82568	25647
763	82647	25529
764	82726	25412
765	82813	25298
766	82894	25181
767	82978	25066
768	83083	24957
769	83177	24845
770	83279	24735
771	83368	24621
772	83459	24508
773	83559	24398
774	83657	24287
775	83775	24182
776	83872	24071
777	83970	23960
778	84071	23850
779	84177	23742
780	84293	23636
781	84403	23529
782	84518	23423
783	84618	23313
784	84731	23206
785	84835	23097
786	84942	22989
787	85053	22882
788	85169	22776
789	85289	22672
790	85412	22568
791	85520	22459
792	85623	22350
793	85735	22243
794	85836	22133
795	85951	22027
796	86064	21921
797	86176	21814
798	86292	21708
799	86415	21603
800	86529	21497
801	86651	21392
802	86771	21287
803	86890	21182
804	87006	21076
805	87119	20969
806	87246	20865
807	87363	20759
808	87470	20651
809	87579	20543
810	87691	20436
811	87793	20326
812	87908	20220
813	88019	20112
814	88133	20005
815	88241	19897
816	88346	19788
817	88459	19681
818	88571	19574
819	88685	19467
820	88798	19360
821	88908	19252
822	89022	19145
823	89141	19039
824	89252	18932
825	89367	18825
826	89484	18719
827	89600	18612
828	89716	18505
829	89830	18398
830	89944	18291
831	90083	18189
832	90180	18079
833	90291	17971
834	90397	17863
835	90502	17754
836	90604	17644
837	90710	17535
838	90819	17427
839	90926	17319
840	91037	17211
841	91140	17102
842	91253	16995
843	91368	16888
844	91481	16780
845	91597	16673
846	91713	16566
847	91828	16459
848	91939	16351
849	92058	16245
850	92162	16136
851	92273	16028
852	92396	15922
853	92507	15815
854	92609	15705
855	92720	15597
856	92831	15490
857	92940	15381
858	93050	15273
859	93157	15165
860	93263	15056
861	93380	14949
862	93495	14842
863	93604	14734
864	93714	14625
865	93825	14518
866	93940	14410
867	94049	14302
868	94163	14194
869	94272	14086
870	94385	13978
871	94494	13870
872	94610	13763
873	94713	13654
874	94835	13547
875	94944	13439
876	95061	13332
877	95169	13224
878	95270	13114
879	95375	13005
880	95480	12896
881	95596	12789
882	95716	12682
883	95821	12573
884	95926	12465
885	96030	12356
886	96147	12248
887	96261	12141
888	96370	12032
889	96486	11925
890	96608	11818
891	96713	11709
892	96822	11601
893	96939	11493
894	97067	11387
895	97177	11279
896	97283	11170
897	97385	11061
898	97493	10953
899	97595	10843
900	97712	10736
901	97817	10627
902	97935	10520
903	98059	10413
904	98191	10307
905	98322	10201
906	98433	10092
907	98542	9984
908	98644	9875
909	98752	9766
910	98863	9658
911	98975	9550
912	99076	9441
913	99185	9332
914	99301	9224
915	99418	9116
916	99532	9008
917	99635	8899
918	99732	8790
919	99832	8681
920	99931	8571
921	100040	8463
922	100141	8354
923	100255	8246
924	100362	8137
925	100486	8030
926	100612	7923
927	100740	7816
928	100859	7708
929	100976	7600
930	101096	7492
931	101204	7384
932	101307	7274
933	101410	7166
934	101517	7057
935	101641	6949
936	101743	6840
937	101841	6731
938	101936	6622
939	102034	6512
940	102133	6403
941	102238	6294
942	102338	6185
943	102437	6076
944	102542	5968
945	102651	5859
946	102763	5751
947	102878	5643
948	102996	5535
949	103109	5426
950	103217	5318
951	103337	5210
952	103445	5101
953	103552	4993
954	103648	4883
955	103738	4774
956	103865	4666
957	103970	4558
958	104082	4449
959	104187	4341
960	104310	4233
961	104419	4124
962	104534	4016
963	104638	3907
964	104759	3799
965	104876	3691
966	104996	3583
967	105114	3474
968	105234	3366
969	105358	3258
970	105473	3150
971	105589	3041
972	105691	2932
973	105795	2824
974	105911	2715
975	106022	2607
976	106122	2498
977	106234	2389
978	106353	2281
979	106450	2172
980	106558	2063
981	106656	1955
982	106760	1846
983	106857	1737
984	106964	1628
985	107070	1520
986	107171	1411
987	107289	1303
988	107398	1194
989	107503	1085
990	107598	977
991	107700	868
992	107806	759
993	107924	651
994	108037	542
995	108138	434
996	108243	325
997	108347	217
998	108452	108
999	108564	0
