iter	MultiClass
278	1.294640906
279	1.291406898
280	1.288940233
281	1.28719601
282	1.285484669
283	1.284479513
284	1.280671234
285	1.277747156
286	1.276853289
287	1.275257413
288	1.273228287
289	1.269887096
290	1.268158037
291	1.265652586
292	1.264306543
293	1.262383355
294	1.259022423
295	1.257829708
296	1.25603361
297	1.253967347
298	1.251278293
299	1.24870982
300	1.245538057
301	1.243432005
302	1.241460134
303	1.239123092
304	1.238631962
305	1.23657637
306	1.235380483
307	1.234335574
308	1.232949463
309	1.230941978
310	1.230028909
311	1.226792351
312	1.225471382
313	1.221525423
314	1.220160743
315	1.219569554
316	1.217950181
317	1.216237932
318	1.21356831
319	1.211445164
320	1.209366109
321	1.206341946
322	1.203939574
323	1.201567942
324	1.199716339
325	1.197373808
326	1.194745512
327	1.19284709
328	1.189054483
329	1.186966873
330	1.18447911
331	1.182752418
332	1.180791577
333	1.179094968
334	1.177273194
335	1.174052465
336	1.17354097
337	1.171520525
338	1.170220095
339	1.169535745
340	1.167315434
341	1.164515958
342	1.160761262
343	1.158478503
344	1.157225211
345	1.155523404
346	1.154125944
347	1.152547416
348	1.150546118
349	1.148322564
350	1.14447203
351	1.142298742
352	1.139408139
353	1.137942414
354	1.135411615
355	1.135038539
356	1.133456565
357	1.130352396
358	1.128693406
359	1.128366936
360	1.127118741
361	1.126350763
362	1.12542956
363	1.123799901
364	1.120464431
365	1.117253957
366	1.11625101
367	1.113840567
368	1.112063066
369	1.110929771
370	1.109057879
371	1.106579515
372	1.102963423
373	1.100714328
374	1.099209206
375	1.098003343
376	1.097532097
377	1.095702199
378	1.093864104
379	1.091749217
380	1.090498814
381	1.087624848
382	1.086225527
383	1.084517651
384	1.08200633
385	1.079388109
386	1.077619398
387	1.075399387
388	1.073535331
389	1.072671537
390	1.071470612
391	1.069750625
392	1.066873121
393	1.065796959
394	1.062492605
395	1.060859008
396	1.057785903
397	1.055532675
398	1.054623825
399	1.05293241
400	1.049252294
401	1.046424302
402	1.044251396
403	1.042230446
404	1.041150854
405	1.03892202
406	1.037649091
407	1.035803177
408	1.034248679
409	1.033102987
410	1.031932172
411	1.030648953
412	1.029186717
413	1.026527373
414	1.023807196
415	1.022080226
416	1.0203453
417	1.018842587
418	1.016787434
419	1.015629648
420	1.013878146
421	1.012447645
422	1.010219172
423	1.009505982
424	1.009166566
425	1.008571261
426	1.006735935
427	1.006168011
428	1.005227658
429	1.002454224
430	1.001091914
431	0.9994959041
432	0.998588706
433	0.9967977586
434	0.9957147803
435	0.9937321385
436	0.9920070376
437	0.9906280122
438	0.9882701406
439	0.9855561373
440	0.9836835769
441	0.9812908655
442	0.9796827847
443	0.9787733434
444	0.9762096542
445	0.9750368948
446	0.9735658495
447	0.9720153447
448	0.9688973654
449	0.9678839085
450	0.9655173157
451	0.9638549138
452	0.9623635049
453	0.9599068071
454	0.9580089362
455	0.9571171621
456	0.9541742324
457	0.9523279864
458	0.9512217481
459	0.9506794932
460	0.9486504911
461	0.9452160578
462	0.9441296315
463	0.9427005399
464	0.9412990569
465	0.9392590913
466	0.9373191792
467	0.9361120397
468	0.9350249618
469	0.9330533294
470	0.9312918527
471	0.9295633155
472	0.9276418749
473	0.9250949953
474	0.924272595
475	0.921490057
476	0.9202695256
477	0.9183670018
478	0.9168679753
479	0.9150250837
480	0.9133946097
481	0.9129674857
482	0.9117261565
483	0.9097920746
484	0.9083632914
485	0.907930239
486	0.9059648226
487	0.9042623923
488	0.9030598831
489	0.9019495279
490	0.8993456286
491	0.8983706322
492	0.8960810884
493	0.8948953206
494	0.891803525
495	0.8900589087
496	0.8879723152
497	0.8867945182
498	0.8839291857
499	0.8819633425
500	0.8809072515
501	0.8799717212
502	0.8788838289
503	0.8768763245
504	0.875361008
505	0.8743140457
506	0.8737378768
507	0.8714691253
508	0.8698688542
509	0.8682089247
510	0.866032305
511	0.8636017473
512	0.8615844013
513	0.8604579297
514	0.8595808885
515	0.8575000176
516	0.855816208
517	0.853906572
518	0.8517309071
519	0.851371053
520	0.8486560462
521	0.8471722507
522	0.8447610037
523	0.8436364004
524	0.8431342527
525	0.8416322864
526	0.8405555013
527	0.839232456
528	0.8370532911
529	0.8360320167
530	0.8353532839
531	0.8338166225
532	0.8323020958
533	0.8307436353
534	0.8294538869
535	0.8284816438
536	0.826386202
537	0.8248159962
538	0.8228583661
539	0.8221171257
540	0.8203151317
541	0.8184085437
542	0.8164614475
543	0.8159518459
544	0.814771335
545	0.8130709558
546	0.8115334921
547	0.810250853
548	0.8092152188
549	0.8074901748
