iter	MultiClass
0	2.19113613
1	2.185030777
2	2.181281354
3	2.174874388
4	2.171120569
5	2.166315685
6	2.161475867
7	2.151819276
8	2.144995278
9	2.139530828
10	2.134490314
11	2.130677041
12	2.125208929
13	2.121952839
14	2.120970732
15	2.117583866
16	2.111431995
17	2.108757964
18	2.106195219
19	2.104320826
20	2.101327189
21	2.097430595
22	2.09335814
23	2.090923129
24	2.080201268
25	2.079578881
26	2.079303627
27	2.074689704
28	2.072356667
29	2.069557273
30	2.067348069
31	2.064315242
32	2.061434521
33	2.05574085
34	2.05203911
35	2.050249987
36	2.04756458
37	2.045668973
38	2.044766269
39	2.043469169
40	2.037677021
41	2.037659872
42	2.036594557
43	2.034392322
44	2.033552069
45	2.030049428
46	2.024110142
47	2.02406269
48	2.022489315
49	2.020233118
50	2.018027189
51	2.012550891
52	2.008842295
53	2.00727142
54	2.00543041
55	2.001965467
56	1.997143607
57	1.996675588
58	1.99311512
59	1.990045153
60	1.985216639
61	1.98000125
62	1.979364464
63	1.976148539
64	1.973307346
65	1.970267168
66	1.967903372
67	1.964077859
68	1.961003396
69	1.956835324
70	1.953830426
71	1.951181505
72	1.948958168
73	1.946571557
74	1.940263207
75	1.93791924
76	1.934811439
77	1.931406852
78	1.92737691
79	1.924313948
80	1.920037834
81	1.915744579
82	1.912425229
83	1.907298105
84	1.90214081
85	1.896129515
86	1.892295393
87	1.890454542
88	1.886848389
89	1.884342668
90	1.881718332
91	1.877047379
92	1.871156758
93	1.866782421
94	1.861808825
95	1.858639122
96	1.854575338
97	1.849898091
98	1.846901831
99	1.844810182
100	1.842947964
101	1.839611774
102	1.835948117
103	1.831729193
104	1.827372368
105	1.821845558
106	1.819796706
107	1.813890574
108	1.810906526
109	1.80765245
110	1.800435823
111	1.793084153
112	1.790523383
113	1.784181169
114	1.779166547
115	1.776313772
116	1.770688313
117	1.766202039
118	1.763953013
119	1.757497131
120	1.753141118
121	1.751184892
122	1.746733878
123	1.745139513
124	1.740785816
125	1.739365215
126	1.734494697
127	1.731785025
128	1.726674181
129	1.724265345
130	1.720020602
131	1.716707043
132	1.715241125
133	1.711908169
134	1.709972987
135	1.706600636
136	1.703710355
137	1.699866664
138	1.692947187
139	1.690184129
140	1.687553186
141	1.684001541
142	1.681461559
143	1.678589633
144	1.675630835
145	1.672352606
146	1.666273964
147	1.662521883
148	1.658920918
149	1.656776316
150	1.65396823
151	1.6509988
152	1.646266031
153	1.638635679
154	1.636104396
155	1.630223626
156	1.628267895
157	1.626772142
158	1.625233763
159	1.621100731
160	1.618397281
161	1.61420099
162	1.611467067
163	1.608707461
164	1.605280131
165	1.59982627
166	1.595834607
167	1.593202922
168	1.591758947
169	1.589160959
170	1.586091161
171	1.583065565
172	1.579066365
173	1.57726978
174	1.573788841
175	1.571639358
176	1.564738594
177	1.56291437
178	1.559731905
179	1.557954173
180	1.555135163
181	1.549464603
182	1.544805799
183	1.542184142
184	1.536826959
185	1.533516835
186	1.529139092
187	1.525220043
188	1.52068244
189	1.518188471
190	1.516035743
191	1.512190396
192	1.507699321
193	1.504630594
194	1.502038358
195	1.499470558
196	1.496434904
197	1.493366706
198	1.490196731
199	1.486042646
200	1.482135027
201	1.478655363
202	1.476280112
203	1.474706077
204	1.471328798
205	1.467938586
206	1.464762715
207	1.462961958
208	1.46121051
209	1.459987233
210	1.456267822
211	1.453656325
212	1.451551432
213	1.449044052
214	1.447371524
215	1.445120562
216	1.440892522
217	1.438799248
218	1.437900262
219	1.435508413
220	1.432208695
221	1.428355852
222	1.427002725
223	1.423762191
224	1.421588713
225	1.419023964
226	1.415745397
227	1.415016263
228	1.410107423
229	1.406657312
230	1.404754876
231	1.401811014
232	1.400735733
233	1.397732337
234	1.392731153
235	1.390123661
236	1.387090258
237	1.385814891
238	1.384556908
239	1.382098004
240	1.379352352
241	1.376962608
242	1.374978207
243	1.372672686
244	1.371576249
245	1.370295959
246	1.366279597
247	1.361093106
248	1.358287601
249	1.356420923
250	1.353038106
251	1.350885167
252	1.34949643
253	1.3477722
254	1.346055146
255	1.345070874
256	1.342301611
257	1.340568459
258	1.337976922
259	1.33717191
260	1.334699718
261	1.332816314
262	1.330359269
263	1.327776634
264	1.325520858
265	1.323033816
266	1.320682842
267	1.319748828
268	1.318330295
269	1.31572854
270	1.314052647
271	1.311389548
272	1.308755916
273	1.305531094
274	1.304432148
275	1.301418451
276	1.299012879
277	1.296657552
